Nom|Prénoms|naissance|décès|Nation|Diocèse|Collège d'études|année de référence|Collège du premier poste|Fonction du premier poste|1ère année attestée du 1er poste|date ultime attestée du 1er poste|Collège du deuxième poste|Fonction du deuxième poste|1ère date attestée du deuxième poste|date ultime attestée du deuxième poste|Collège du troisème poste|Fonction du troisième poste|1ère date attestée du troisième poste|Date ultime attestée du troisième poste|Autres informations|Premier grade connu|Second grade connu|Ordre sacré|Bénéfices|Engagement janséniste|Serment civique|Fonctions universitaires|Publications|Référence de la source 1|Référence de la source 2|Référence de la source 3|Autres références de source
Aubin|Jean-Pierre|1751||France|Sens |Harcourt|1772||agrégé|1772|1775|||||||||"Né à Melun. Agrégé de lettres le 16 mai 1772. Lauréat du concours général. En 1775 est seulement dit ""docteur agrégé"", sans poste. Est peut-être le secrétaire du comte de Provence (identification incertaine)."|||clerc||||recteur 1741-1742||U25|M3317|carton 26|
Aubry|Jacques Philippe|||Normandie|||1772|Lisieux|professeur|1772|1772|Lisieux|professeur de 3e|1776|1776|Lisieux|professeur de rhétorique|1789|1791|Remplacé en 1791 car réfractaire. Il a commencé le 4/6/1772 par les classes inférieures, agrégé de lettres ensuite. Proposé comme juge à l'agrégation de grammaire.||||||non|||H/3/2563 (VI)|H/3/2754/A-B|MSJF419|MSJF 414
Aubry|Jean Thomas|||France|Paris (Ville)||1735|Autun|professeur de philosophie|1736|1737||||||||||bachelier en théologie||clerc 1735|Cure de st Louis en l’Ile en 1759-80|||||M3315|H/3/2899/3||
Audebert|Louis Pierre|||France|Tours (Ville)||1739|Justice|professeur|1739|1739||||||||||||||||||M3315|||
Audran|Pierre|||Normandie|||1685|Lisieux|principal|1685|1693||||||||||||||||||REG10|||
Auffray|Louis Jacques|1737||France|Paris (Ville)||1760|||||||||||||En 1775 est seulement bachelier en théologie, aucune ancienne fonction enseignante n’est indiquée.|bachelier en théologie||diacre en 1760||||||M3316|U25||
Autreau|Charles René|1725||France|Soissons||1751|||||||||||||En 1775 est seulement bachelier en théologie, aucune ancienne fonction enseignante n’est indiquée.|bachelier en théologie||prêtre 1751||||||M3316|U25||
Auvray|Thomas||||||1761||professeur|||||||||||Ancien professeur de l'université mentionné en 1761 dans le minutier central (décédé, constat de carence de succession).|||||||||MC ET/LXIV/372|||
Avoust (d’) ( Davoust)|Antoine Jean (Joseph)|||France|Paris (Ville)||1729|||||||||||||En 1771, un d’Avoust de Langottière  obtient une bourse au collège du Mans.|bachelier en théologie|docteur en théologie|diacre||classé janséniste||||M3315|U254||
Bac|Nicolas|||France|Paris||1691|Trésorier|professeur de philosophie|1691|1691||||||||||||||||||M3314|||
Bachelay|Philippe Nicolas|1730||France|Paris (Ville)||1751|Autun|professeur de philosophie|1752|1753||||||||||bachelier en théologie|docteur en théologie|||||||M3316|H/3/2899/3|U25|
Bachelier|Nicolas|||France|Paris (Ville)||1691|Trésorier|professeur de philosophie|1691|1691|||||||||||docteur en théologie|||||||M3314|U 37||
Bachelier|Philippe François|||Picardie|Amiens|Cardinal Lemoine (2e en 1783)|1786|La Marche|professeur de philosophie (physique)|1786|1791|||||||||Lauréat du Concours général. Originaire d’Amiens, ville d’Abbeville.|||prêtre|||réfractaire|||H/3/2754/A-B|H/3/2563|carton 26|
Bacq (de)|Antoine||1751|Picardie|Amiens||1702|Mazarin|professeur de philosophie|1702|1726|Cardinal-Lemoine|principal|1732|1751|||||Socius de la Sorbonne.|licencié en théologie||prêtre||||recteur 1708-1709||M3314|H/3/2829|H/3/2827|H/3/2830; Joudain ; Arsenal 10294
Bagne  (de) ( Baque)|François Nicolas|1739||France|||1764|||||||||||||Des Bagne sont boursiers du collège de Bourgogne vers 1764.|bachelier en théologie||||||||M3317|||
Baillet (Baillé)|François|||France|||1691|Narbonne|principal|1691|1705||||||||||bachelier en théologie||||||||M3314|||
Bailly|Toussaint|||France|Paris (Ville)||1710||||||||||||||bachelier en théologie|docteur en théologie|acolyte 1710||||||M3314|U254||
Ballé|Gilles||||||1678|La Marche|principal|1678|1686||||||||||bachelier en théologie||||||||Compère|||
Ballière de Laisement|Henri|||Normandie|||1694|Navarre|professeur de 6e|1694|1694|Navarre|professeur d'humanités|1701|1701|Navarre|principal|1705|1705|Chanoine de la cathédrale de Rouen en 1708. Noble.||licencié en théologie|prêtre 1705|chanoine|||||REG 10|||
Ballin|||||||1793|Montaigu|professeur de rhétorique|1793|1794||||||||||||||||||carton 26|Compère||
Bannard|Louis|||France|Paris (Ville)||1712||||||||||||||bachelier en théologie|bachelier en droit|||||||M3314|||
Barabe|Guillaume|||Normandie||Plessis (identification incertaine)|1716|||||||||||||Un Barabée a un prix  en rhétorique au Plessis en 1710.|bachelier en théologie||||||||REG10|||
Baral  (de)|Sébastien|||France|Grenoble (Ville)||1733|Bourgogne|régent|1733|1733||||||||||bachelier en théologie||clerc||||||M3315|||
Barat|||1706||||1697|Mazarin|sous maître|1697|1706|||||||||Pinard est son exécuteur testamentaire.|||||||||H/3/2827|H/3/2826||
Barbey (Barbay)|||||||1652|Reims|professeur de philosophie|1652|1652||||||||||||||||||Reg 27|Jourdain||
Barbier|Gilles|||France|Senlis||1714|||||||||||||||licencié en droit|||||||M3314|||
Barclai|Robert|||Allemagne |||1662|Des Écossais|principal|1662|1662|||||||||Écossais.|||||||||Jourdain|||
Bardon|Jean Charles|||France|Poitiers |Ste Barbe sous Durieux ou Plessis|1728|||||||||||||Un Bardon a un prix au Plessis en 1715 en 2nde; un Charles Bardon de Lavaudiére un accessit en 1716 en rhétorique. En 1739, licencié en droit . Il devient ensuite chanoine de la collégiale de Lause en Hainaut. Fils d’avocat|bachelier en théologie|||chanoine|classé janséniste; appelant.||||M3315|||
Bardou|Pierre|||France|Le Mans (Ville)||1695|||||||||||||Simple maître ès arts en 1693, docteur en théologie en  1711|bachelier en théologie|docteur en théologie|clerc 1693, prêtre 1701||||||M3314|REG 82||
Bareau|Joseph|||France|Angoulême||1715|Laon|professeur de philosophie|1715|1715||||||||||||||||||M3320|||
Barençon (Barencon)|Robert|||Normandie|||1707|Lisieux|professeur|1707|1712|Lisieux|professeur de 3e|1719|1735|||||Minutier central en 1761 il est décédé et présenté comme professeur de l’Université. Possédait une rente foncière à Villeneuve-Saint-Georges.|||||||procureur 1723, questeur 1716-1718||REG10|LP11-62|H/3/*/2597|
Bargues  (de)||||France|Lyon||1707||||||||||||||bachelier en théologie||||||||M3314|||
Barjot de Moussy de Roncée|Alexis|||France|Tours||1666|Grassins|professeur de philosophie|1666|1666|Le Mans|principal|1675|1675||||||bachelier en théologie||prêtre||||recteur 1670-1676||M3313|Jourdain||
Barre|Étienne Joseph|||France|Paris (Ville)|Plessis probablement|1741|||||||||||||Un Barré a un prix au Plessis en 1716 en 6e.|bachelier en théologie|docteur en théologie||un Joseph Baré est curé de Notre-Dame d'Auteuil en 1761-1780|||||M3315|U37||La France littéraire 1757 et 69
Barrier (Le Barrier)||||Normandie|||1786|Montaigu|professeur de 6e|1786|1791|||||||||Agrégé sans poste 1786-1789.||||||non, réfractaire|||H/3/2563 (VI)|H/3/2754|carton 26|
Barrois (Barroy)|Rodolphe||||||1642|Reims|principal|1642|1660|||||||||Des abus sont signalés dans son collège en 1642.|||||||||M3313|Jourdain||
Bartholomé|||||||1738|Mazarin|professeur de 6e|1738|1743||||||||||||||||||H/3/2832|||
Bartouilh (Barthouil)|Jean  Gabriel|1731||France|Condom||1754|Plessis|professeur|1754|1770|||||||||Examinateur du baccalauréat en 1758 mais sans être titulaire d'un poste enseignant. |bachelier en théologie|docteur en théologie|sous-diacre||||||U255|U37(3)|M3316|
Baslé|Gilles |||France|||1673|Trésorier|professeur de philosophie|1673|1673||||||||||bachelier en théologie||||||||M3313|||
Basquier|François|||France|||1668|Navarre|professeur de philosophie|1668|1668||||||||||bachelier en théologie||||||||M3313|||
Basselin|Robert|||Normandie|Rouen|Harcourt probablement|1716|Harcourt|professeur de philosophie|1716|1716|Grassins|professeur de philosophie |1739|1750|||||Un Basselin est Boursier de Harcourt en 1706 .||||||||Ode à D'Aguesseau.|AN1739|LP1711 1762|REG10|H/3/2597; H/3/*/2821, U37
Basset||||Normandie|||1786||professeur émérite ou principal ou professeur à Mazarin|1786|1790||||||||||||||||||H/3/2754/A-B|||
Basset des Rosiers|Gilles|||Normandie|Bayeux|Harcourt probablement (boursier à Harcourt en 1731-1739)|1739|Harcourt|professeur de philosophie|1739|1760|Harcourt|professeur de philosophie émérite retiré|1766|1779|||||Proposé comme juge à l'agrégation de philosophie en 1780.|bachelier en théologie||||||recteur 1779|Critique de la lettre de Maupertuis sur les comètes; Lettre de Madame *** à M.D.R. sur les observations de l’abbé Desfontaines avec la réponse par Basset; Critique de la dissertation physique sur le nègre blanc; Anti-Vénus physique ou critique de la dissertation sur l’origine des hommes et des animaux; Entretiens sur les comètes; Épître à M. Molin|AN1739|LF18|Dictionnaire des lettres françaises|La France littéraire 1757: H/3/2597 ; H/3/*/2818 
Batteux (Le Batteux)|Charles|1713|1780|France|Reims||1744|Lisieux|professeur de 3e|||Navarre|professeur de rhétorique|1744|1748|Collège Royal|professeur de philosophie grecque et latine|1748|1750|Membre de l'académie des inscriptions en 1754, de l'Académie française en 1761.  Traducteur, latiniste, auteur d'ouvrages d'enseignement, il fut professeur de philosophie grecque et latine au Collège Royal ; il a laissé plus de cinquante volumes. Pensionné par Louis XV. Il s'attire la haine de Voltaire pour son parallèle entre la Henriade et le Lutrin. Candidat du parti religieux aux fonctions de secrétaire perpétuel à la mort de Duclos, en 1772, il échoua en obtenant 10 voix contre d'Alembert qui en eut 17.||||||||Très nombreux ouvrages : Les beaux arts réduits à un même principe; Cours de belles-lettres distribué par exercices; Cours de belles-lettres ou principes de littérature; In civitatem remensem...|U255|Dictionnaire des lettres françaises|M3315|M3316 ; La France littéraire 1757 et 1769
Baudier|||||||1652|Plessis|professeur de philosophie|1652|1652||||||||||||||||||Jourdain|||
Bauen|||||||1601|Lisieux|principal|1601|1601||||||||||||||||||Jourdain|||
Bazot|Claude|||France|Paris||1611|Harcourt|professeur d'humanités|||Grassins|professeur de philosophie|1611|1611||||| Il obtient son premier poste avant 1611.|||||||||Jourdain|||
Beaudouin [Baudüin]|Pierre|||Picardie|||1751|Cardinal-Lemoine|principal|1751|1791|||||||||Décédé entre 1797 et 1802.||||||réfractaire en 1791|||carton 26|916363|H/3/2754/A-B|
Beausse  (de)|François|||France|Sens||1717|Navarre|principal|1717|1727||||||||||bachelier en théologie|docteur en théologie|||||||U253|U254||
Beauüin|Louis||||||1752|||||||||||||Serait entré dans l'université le 15/9/1752; émérite  vivant après l’an V.|||||||||carton 26|||
Beguin|Lazare|||France|Autun||1686|Cardinal-Lemoine|professeur|1686|1686|Cardinal-Lemoine|professeur d'humanités|1705|1705|||||||||||||aucune|M3314|||
Beguin |Nicolas||1810|France|Autun||1767|Louis-Le-Grand|professeur de philosophie|1767|1778|||||||||Naissance vers 1740. Agrégé de philosophie, en poste depuis 1/10/1767. Est en  1769 proposé comme juge à l'agrégation de philosophie. Aurait débuté comme maître de conférences à Louis-le-Grand avant sa titularisation. Décédé vers 1810.|licencié en théologie||Prêtre||||||M3317|MSJF419 et 414|U25|Dupont-Ferrier ; La France littéraire 1769
Behotte|Adrien|1573|1638|Normandie|Évreux|Harcourt (boursier)|1601|Harcourt|principal de l'exercice|1601|1605|||||||||||||Boursier et prieur d'Harcourt; chanoine et grand archidiacre de Rouen|||Recteur oct-dec 1602|Apologie de Saint Romain (en latin), Canones ecclesiastici; traités sur le droit de visite des archidiacres...|Compère|ABF|Le Moyne des Essarts, Les siècles littéraires de la France, 1800.|Dictionnaire des lettres françaises 17e; Oursel,
Belin|||||||1652|Beauvais|professeur|1652|1652||||||||||||||||||Reg 27|||
Belland|Jean  Baptiste|||France|Vienne||1715|Bayeux|professeur|1715|1715|||||||||||docteur en théologie|||||||M3314|U254||
Bellanger||||||Plessis probablement|1713|Mazarin|sous maître|1713|1714|||||||||Un Pierre Bellanger a un prix de récitation  grecque en quatrième au Plessis en 1705. ||||cure (identification incertaine)|||||H/3/2828|||
Bellec|Yvon|1714||France|Tréguier||1746||||||||||||||bachelier en théologie|docteur en théologie|prêtre 1746||||||M3316|U25||
Belleville|||||||1674|Plessis|professeur de rhétorique|1674|1674|||||||||||||||||La religion chrétienne prouvée par la conversion de St Paul; Divers poèmes latins dédiés aux Grands|M3313|||
Belloy  de  Franciere (Du )|René Charles Antoine|||France|Paris (Ville)||1703|Fortet|professeur de philosophie|1703|1703|||||||||Un Vincent Charles Antoine du Belloy  est docteur en théologie en 1717 (U253).||||||||Ode pour la consécration du roi|M3314|||
Belluot|Pierre|||France|Tours||1732||||||||||||||bachelier en théologie||prêtre 1732||||||M3315|||
Benet|Louis|||Normandie|Rouen (Ville)||1715|Beauvais|professeur de philosophie|1715|1730|||||||||Cesse d’exercer avant 1735.|||||||recteur 1728||REG10|LP 11/62|H/3/2597|
Benoist|Étienne|||France|Sens||1711||||||||||||||bachelier en théologie|docteur en théologie|||||||M3314|U253||
Berard||||Picardie|||1790||agrégé sans poste|1790|1790|Louis-Le-Grand|professeur de 6e|1793|1794|||||||||||||Table des sinus|H/3/2754/A-B|carton 26||
Bérardier|Denis||1794|France|Quimper (Ville)|Jésuites de Quimper, puis philosophie et théologie à Paris|1778|Collège Quimper|principal|1762|1778|Louis-Le-Grand|principal (grand maître en 1787)|1778|1787|||||Naissance en 1729 ou 1735. Fils de négociant de Quimper. Féru de physique, il monte un cabinet dans le collège. Il déclare en 1790 jouir d'une pension de 2000 livres accordée par le roi. Membre des états généraux, il siège à droite mais reste proche de Camille Desmoulins, ancien élève, qui le sauve en 1793 alors qu'il est en prison. ||docteur en théologie|prêtre|||réfractaire, il refuse en 1790 l'évêché de Quimper||Nombreuses publications dont une opposition à la constitution civile du clergé (l'Eglise constitutionnelle confondue par elle-même).|Archives biographiques françaises.|||
Bérardier de Bataut|François  Joseph|1720|1794|France|Paris (Ville)||1760|Plessis|professeur de rhétorique|1760|1760|||||||||N'aurait enseigné qu'une seule année.|||||||recteur 1753-1754 et 1761-1763|Essai sur le récit ou Entretien sur la manière de raconter; Précis de l’histoire universelle avec des réflexions; L’Anti-Lucrèce en vers françois.|U37(3)|M 3317|lettres 18|La France littéraire 1769
Bergeron|Marguerin|||Normandie|||1761|Lisieux|procureur chargé de la pension|1761|1768|Lisieux|principal|1768|1791|||||||||||prête le serment en 1791|||H/3/2563 (VI)|H/3/2754/A-B||
Bergier (dit Prétat)|Antoine|||France|Besançon||1729|||||||||||||En 1739 n'a toujours occupé aucun poste enseignant.|bachelier en droit|Licencié en droit|acolyte 1728|Un Bergier est chanoine de Notre-Dame en 1769-1780|classé janséniste||||M3315||| La France littéraire 1769  
Bernier||||France|||1694|Cardinal-Lemoine|professeur|1694|1694||||||||||||||||||M3314|||
Berny  (de)|Claude|||France|||1693|Justice|professeur de philosophie|1693|1693||||||||||bachelier en théologie|licencié en théologie|||||||M3315|||
Berny  (de)|Julien|||France|Paris (Ville)||1691|Justice|professeur de philosophie|1691|1691||||||||||||||||||M3314|||
Berthe||||Normandie|||1755||professeur de philosophie ou de rhétorique|1755|1755||||||||||||||||||H/3/2597|||
Berthelin|Pierre Charles|1746||France|Paris (Ville)||1747|||||||||||||Berthelin n'a pas de poste en 1751. Un autre Berthelin est Censeur en 1772 et procureur, Questeur en 1781.|bachelier en droit|licencié en droit|clerc|chanoine||||Recueil d’énigmes et quelques logogriphes; Ode en vers grecs; Dictionnaire de Trévoux (collaboration); Recueil de pensée ingénieuses tirées des anciens poèmes latins.|M3316|M3318|U25| La France littéraire 1757 et 69, avocat et P latin à école militaire
Berthelot|Jean-François|1744||France|Paris (Ville)|Beauvais (en 3e  en 1758)|1767||agrégé|1775|1775|||||||||Mention au concours général.||||||||Novum testamentum regulis illustratum...|U25|||
Berthoult|||||||1642|Sainte Barbe|principal|1642|1646||||||||||||||||||Jourdain|||
Bertinot|François|1715||France|Dijon||1745|Lisieux|professeur de 3e|1745|1750|||||||||Un François Bertinot est en 1790 premier vicaire de St Pierre de Chaillot,  insermenté, il meurt après 1802 (identification incertaine).|bachelier en théologie||prêtre|vicaire||||aucune|M3316|U255|Dainville-Barbiche|
Besogne|Augustin  Claude|||France|Paris||1702|Bourgogne|professeur de philosophie|1702|1702|||||||||Un Augustin Claude Besoigne est mentionné à plusieurs reprises pour ses fonctions administratives (en 1741 par exemple) mais n'occupe pas de poste enseignant. |||||||||M3314|||
Besoigne|Jérôme|1686|1763|France|Paris |Mazarin|1706|Bourgogne|professeur de philosophie|1706|1706|Plessis|professeur de philosophie|1712|1714|Plessis|principal (coadjuteur)|1718|1718|Neveu d'un héraldiste, d’une famille de libraires Parisiens, incorporé jeune au clergé de St Jacques de la Boucherie. A fait ses études au collège de Mazarin, licencié puis docteur en théologie sorboniste, prêtre en 1715. Une des figures du second jansénisme, appelant et réappelant. Exilé en 1731, il voyage en Europe. Auteur de très nombreuses publications jansénistes |licencié en théologie|docteur en théologie|prêtre 1715||figure dans le Nécrologue des appelants|||Histoire de l’abbaye de Port Royal, 6 vol.; La vie des quatre évêques; Concordance du livre de la sagesse;  des livres liturgiques et un missel.|M3314|LF18|C. Maire|nécrologue des défenseurs de la vérité T6; Dictionnaire des lettres françaises18e
Bessie|Laurent Paul|||France|Lyon||1730|Le Mans|régent|1730|1730|||||||||Il exerce déjà en 1730, il officialise la situation en 1731.|bachelier en théologie||acolyte||||||M3315|||
Bethisy  (de)|Jean|1702||France|Paris (Ville)||1723|St Michel|professeur de philosophie|1723|1723|||||||||Il devient ensuite maître de musique.|||clerc|||||Exposition de la théorie de la musique; Lettre au sujet du discours de M. Rousseau; La musique de l’enlèvement d’Europe, Opéra; Ode sur la campagne de M. le prince de Conti en Italie|M3314|M3320|| La France littéraire 1769 est devenu maître de musique
Beuvières (Bevières)||||France|Reims||1690|Cardinal-Lemoine|professeur|1690|1690|Beauvais|professeur|1708|1708|||||||||||||Une ode au cardinal de Fleury.|M3314|||
